OBJECTID,Neighborhood_2010_FID_BlockG,Neighborhood_2010_STATEFP10,Neighborhood_2010_COUNTYFP10,Neighborhood_2010_TRACTCE10,Neighborhood_2010_BLKGRPCE10,Neighborhood_2010_GEOID10,Neighborhood_2010_NAMELSAD10,Neighborhood_2010_MTFCC10,Neighborhood_2010_FUNCSTAT10,Neighborhood_2010_ALAND10,Neighborhood_2010_AWATER10,Neighborhood_2010_INTPTLAT10,Neighborhood_2010_INTPTLON10,Neighborhood_2010_Shape_Leng,Neighborhood_2010_FID_Neighb,Neighborhood_2010_AREA,Neighborhood_2010_PERIMETER,Neighborhood_2010_NEIGHBOR_,Neighborhood_2010_NEIGHBOR_I,Neighborhood_2010_HOOD,Neighborhood_2010_HOOD_NO,Neighborhood_2010_ACRES,Neighborhood_2010_SQMILES,Neighborhood_2010_DPWDIV,Neighborhood_2010_UNIQUE_ID,Neighborhood_2010_SECTORS,Neighborhood_2010_Shape_Le_1,Neighborhood_2010_Shape_Ar_1,Neighborhood_2010_Page_Number,SNAP_All_csv_Neighborhood,SNAP_All_csv_Sector__,Pop__1940,Pop__1950,Pop__1960,Pop__1970,Pop__1980,Pop__1990,Pop__2000,Pop__2010,F__Pop__Change__60_70,F__Pop__Change__70_80,F__Pop__Change__80_90,F__Pop__Change__90_00,F__Pop__Change__00_10,Pop__as___of_City_total__2010_,Land_Area__sq__mi_,SNAP_All_csv_Land_Area__acres_,Persons___sq__mi__2010_,Persons___sq__mi__2000_,SNAP_All_csv_Persons___acre__20,SNAP_All_csv_Persons___acre__21,SNAP_All_csv___African_American,SNAP_All_csv___Asian__2010_,SNAP_All_csv___Other__2010_,SNAP_All_csv___White__2010_,SNAP_All_csv___2__Races__2010_,SNAP_All_csv___Hispanic__of_any,F__Pop__Age___5__2010_,F__Pop__Age_5_19__2010_,F__Pop__Age_20_34__2010_,F__Pop__Age_35_59__2010_,F__Pop__Age_60_74__2010_,F__Pop__Age___75__2010_,SNAP_All_csv_Total___Units__200,SNAP_All_csv_Total___Units__201,SNAP_All_csv___Occupied_Units__,SNAP_All_csv___Vacant_Units__20,SNAP_All_csv___Occupied_Units_1,SNAP_All_csv___Owner_Occupied_U,SNAP_All_csv___Renter_Occupied_,Est__Avg__Yrs__of_Residence__20,SNAP_All_csv___Living_in_Househ,SNAP_All_csv___Living_in_Group_,SNAP_All_csv___Units_Built_00_0,SNAP_All_csv___Units_Built_90_9,SNAP_All_csv___Units_Built_80_8,SNAP_All_csv___Units_Built_60_7,SNAP_All_csv___Units_Built_40_5,SNAP_All_csv___Units_Built_befo, SNAP_All_csv_Median_Home_Value_ ,Med__Val____00_in__10_Dollars_,SNAP_All_csv_Median_Home__Value,SNAP_All_csv___Change_Real_Valu,SNAP_All_csv_Median_Sale_Price_,SNAP_All_csv___Sales_Counted__2,SNAP_All_csv_Foreclosures__2008,SNAP_All_csv_Foreclosures__2010,SNAP_All_csv___of_all_Housing_U,Total_Age_16__N_hood_Residents_,SNAP_All_csv_Resident_Jobs__Con,SNAP_All_csv_Resident_Jobs__Man,SNAP_All_csv_Resident_Jobs__Ret,SNAP_All_csv_Resident_Jobs__Tra,SNAP_All_csv_Resident_Jobs__Inf,SNAP_All_csv_Resident_Jobs__Fin,SNAP_All_csv_Resident_Jobs__Pro,SNAP_All_csv_Resident_Jobs__Edu,SNAP_All_csv_Resident_Jobs__Art,SNAP_All_csv_Resident_Jobs__Pub,SNAP_All_csv_Resident_Jobs__Oth,Total___Jobs_Located_in_N_hood_,SNAP_All_csv_Jobs_in__Hood__Con,SNAP_All_csv_Jobs_in__Hood__Man,SNAP_All_csv_Jobs_in__Hood__Ret,SNAP_All_csv_Jobs_in__Hood__Tra,SNAP_All_csv_Jobs_in__Hood__Inf,SNAP_All_csv_Jobs_in__Hood__Fin,SNAP_All_csv_Jobs_in__Hood__Pro,SNAP_All_csv_Jobs_in__Hood__Edu,SNAP_All_csv_Jobs_in__Hood__Art,SNAP_All_csv_Jobs_in__Hood__Pub,SNAP_All_csv_Jobs_in__Hood__Oth,SNAP_All_csv_Total_Pop__25_and_,Edu__Attainment__Less_than_High,Edu__Attainment__High_School_Gr,Edu__Attainment__Assoc__Prof__D,Edu__Attainment__Bachelor_s_Deg,Edu__Attainment__Postgraduate_D,SNAP_All_csv_1999_Median_Income,SNAP_All_csv_2009_Median_Income,SNAP_All_csv_1999_Median_Inco_1,F2009_Med__Income___13_Dollars_,Est__Pop__for_which_Poverty_Cal,Est__Pop__Under_Poverty__2010_,Est__Percent_Under_Poverty__201,SNAP_All_csv__Part_1__Major_Cri,SNAP_All_csv__Part_2_Reports__2,SNAP_All_csv__Other_Police_Repo,SNAP_All_csv_Part_1_Crime_per_1,SNAP_All_csv_Part_2_Crime_per_1,SNAP_All_csv__Murder__2010_,SNAP_All_csv__Rape__2010_,SNAP_All_csv__Robbery__2010_,F_Agr__Assault__2010_,SNAP_All_csv__Burglary__2010_,SNAP_All_csv__Auto_Theft__2010_,SNAP_All_csv__Drug_Violations__,SNAP_All_csv_Land_Area__acres1,Approx__Total___Parcels__2010_,Approx__Total___Taxable_Parcels,Approx____of_Structures__2010_,Approx____Unoccupied_Parcels__2,SNAP_All_csv___Good___Excellent,SNAP_All_csv___Average_Conditio,SNAP_All_csv___Poor___Derelict_,F__Residential_Bldg__Permits__2,F__Residential_Bldg__Permits__3,F__Commercial_Bldg__Permits__20,F__Commercial_Bldg__Permits__21,SNAP_All_csv___Code_Violations_,F__of_all_Bldgs__w__Code_Violat,SNAP_All_csv___Condemned_Struct,F__of_all_Bldgs__Condemned__201,SNAP_All_csv___Demolitions__201,F__Tax_Delinquent_Prop___2__yrs,F__of_Taxable_Prop__Delinquent_,SNAP_All_csv_Landslide_Prone___,SNAP_All_csv_Undermined____land,SNAP_All_csv_Flood_Plain____lan,SNAP_All_csv___Street_Trees,SNAP_All_csv_Park_Space__acres_,SNAP_All_csv_Park_Space____of_l,Park_Space__acres_1000_pers__,SNAP_All_csv_Greenway____of_lan,SNAP_All_csv_Woodland____of_lan,SNAP_All_csv_Cemetery____of_lan,SNAP_All_csv_Residential,SNAP_All_csv_Mixed_Use___Commer,SNAP_All_csv_Mixed_Use___Indust,Institutional___Edu____Med_,SNAP_All_csv_Open_Space,SNAP_All_csv_Hillside,SNAP_All_csv_Special_Land_Use,SNAP_All_csv_Miles_of_Major_Roa,SNAP_All_csv_Total_Street_Miles,Street_Density__st__mi_area_sq_,SNAP_All_csv___Sets_of_Steps,SNAP_All_csv___Step_Treads,Res__Permit_Parking_Area_s_,Total_Working_Pop___Age_16____2,SNAP_All_csv_Commute_to_Work__D,SNAP_All_csv_Commute_to_Work__C,SNAP_All_csv_Commute_to_Work__P,SNAP_All_csv_Commute_to_Work__T,SNAP_All_csv_Commute_to_Work__M,SNAP_All_csv_Commute_to_Work__B,SNAP_All_csv_Commute_to_Work__W,SNAP_All_csv_Commute_to_Work__O,SNAP_All_csv_Work_at_Home__2010
58,167,42,3,70900,2,4.20E+11,Block Group 2,G5030,S,136793,0,40.4510923,-79.9473004,5126.461434,42,25673624,25073.463,43,2125,Shadyside,68,592.104,0.921,2,23,12,25073.4623,25673625.06,,Shadyside,12,17680,19279,18177,15848,13945,13385,13754,13915,-12.81%,-12.01%,-4.02%,2.76%,1.17%,4.55%,0.9,589.4,15108.6,14933.8,23.6,23.3,5.40%,19.86%,0.91%,71.90%,1.93%,3.30%,4.52%,5.88%,50.35%,22.69%,8.49%,8.07%,8451,8610,93.30%,6.70%,8185,29.50%,70.50%,0,95.60%,4.40%,2.30%,3.60%,9.00%,23.60%,20.10%,41.50%," 153,560 ","$194,453 ","$264,860 ",36.20%,"$247,000 ",204,8,2,0.00%,8397,0.90%,4.90%,6.40%,2.30%,3.00%,7.60%,17.70%,45.60%,7.10%,1.70%,2.80%,9027,2.40%,1.90%,10.90%,4.10%,1.30%,4.60%,6.20%,52.60%,7.40%,0.60%,8.00%,10234,4.20%,15.70%,18.00%,32.30%,29.80%,35709,45315,47435,49393,13757,2656,19.30%,623,308,285,4.5,2.2,0,1,24,10,60,53,14,589.4,3976,3724,2548,193,13.90%,85.60%,0.50%,49,2792003,57,11388665,53,2.10%,0,0.00%,3,33,0.90%,1.10%,0.00%,0.00%,1601,17.1,2.90%,1.2,0.00%,0.00%,0.00%,82.10%,11.30%,0.00%,3.00%,2.90%,0.00%,0.80%,4.29,27.24,29.6,0,0,"J, U, V, X, Y",8223,44.80%,7.30%,26.90%,0.00%,0.40%,1.20%,17.30%,0.40%,1.70%
59,173,42,3,300100,5,4.20E+11,Block Group 5,G5030,S,121963,0,40.4109357,-79.9931744,5583.468613,84,8411048,12000.762,85,2167,Knoxville,44,193.982,0.302,4,81,6,12000.76183,8411048.342,,Knoxville,6,8024,7867,7353,6527,5524,4971,4432,3747,-11.23%,-15.37%,-10.01%,-10.84%,-15.46%,1.23%,0.3,193.3,12407.3,14675.5,19.4,22.9,51.51%,0.88%,0.88%,42.78%,3.95%,1.30%,7.70%,27.88%,14.89%,34.37%,9.56%,5.60%,1923,1857,78.60%,21.40%,1453,65.80%,34.20%,8,100.00%,0.00%,2.50%,0.00%,0.00%,5.30%,18.50%,73.70%," 36,000 ","$45,587 ","$39,900 ",-12.50%,"$10,634 ",50,36,19,1.00%,1536,2.00%,8.70%,8.70%,2.10%,4.60%,6.50%,10.40%,32.30%,10.40%,5.80%,8.40%,534,4.70%,0.00%,18.70%,0.00%,0.00%,2.80%,7.50%,35.60%,18.70%,0.70%,11.20%,2379,22.10%,60.20%,3.20%,11.10%,3.30%,26488,27893,35187,30403,3947,1130,28.60%,223,392,170,6,10.5,2,3,25,29,83,21,113,193.3,1736,1685,1905,157,1.70%,93.80%,4.60%,12,63778,0,0,232,12.20%,24,1.30%,16,298,17.70%,0.10%,99.90%,0.00%,464,0.1,0.00%,0,0.00%,0.50%,0.00%,94.00%,5.90%,0.00%,0.00%,0.10%,0.00%,0.00%,1.2,14.42,47.7,5,151,None,1493,48.40%,12.40%,30.40%,0.00%,0.00%,0.00%,7.50%,1.30%,0.00%
60,178,42,3,562700,2,4.20E+11,Block Group 2,G5030,S,535964,5234,40.4515765,-80.0053403,10563.7917,45,5840713,10570.415,46,2128,Allegheny Center,1,134.703,0.21,1,19,3,10570.41483,5840713.265,,Allegheny Center,3,4521,3862,2512,632,1586,1262,886,933,-74.84%,150.95%,-20.43%,-29.79%,5.30%,0.31%,0.2,134.4,4442.9,4219,6.9,6.6,48.55%,6.00%,0.64%,40.84%,3.97%,2.90%,4.19%,21.70%,27.57%,22.43%,17.61%,6.50%,675,1052,51.50%,48.50%,535,10.10%,89.90%,0,100.00%,0.00%,4.60%,2.10%,7.40%,67.30%,17.30%,1.30%," 86,500 ","$109,535 ","$136,300 ",24.40%,N/A,0,0,0,0.00%,386,3.10%,1.80%,11.90%,0.00%,0.00%,10.40%,5.40%,42.70%,19.70%,1.00%,3.90%,5410,3.10%,9.40%,1.80%,7.70%,8.50%,21.30%,9.30%,25.80%,6.70%,2.00%,4.40%,609,18.70%,44.50%,17.20%,15.80%,3.80%,16964,20911,22535,22793,954,324,34.00%,71,141,46,7.6,15.1,0,2,9,5,8,5,31,134.4,67,26,58,15,n/a,n/a,n/a,0,0,6,6314000,0,0.00%,0,0.00%,0,0,0.00%,0.00%,0.00%,0.20%,22,55.3,41.10%,59.2,0.00%,0.00%,0.00%,0.00%,49.40%,0.00%,0.00%,50.60%,0.00%,0.00%,2.23,4.14,19.7,0,0,None,386,27.70%,9.80%,16.80%,0.00%,0.00%,0.00%,43.80%,0.00%,1.80%
61,181,42,3,270800,3,4.20E+11,Block Group 3,G5030,S,633737,0,40.4865869,-80.0297229,13818.09763,3,31143860,26060.684,4,2086,Brighton Heights,13,718.262,1.117,1,23,2,26060.68413,31143860.75,,Brighton Heights,2,11515,11847,11483,10604,9122,8580,8050,7247,-7.65%,-13.98%,-5.94%,-6.18%,-9.98%,2.37%,1.1,714.9,6487.9,7206.8,10.1,11.3,21.84%,0.65%,0.52%,73.88%,3.10%,1.60%,5.90%,19.69%,20.80%,36.96%,9.17%,7.48%,3664,3615,90.20%,9.80%,3645,65.70%,34.30%,5,100.00%,0.00%,0.30%,3.70%,9.10%,5.00%,20.30%,61.60%," 68,733 ","$87,037 ","$81,433 ",-6.40%,"$67,000 ",163,55,35,1.00%,3979,2.20%,5.60%,12.30%,4.90%,2.80%,11.50%,9.50%,26.40%,9.00%,7.20%,8.70%,917,8.70%,7.50%,4.30%,4.90%,0.90%,5.90%,6.40%,28.40%,9.80%,1.10%,22.10%,5597,9.90%,51.60%,13.10%,18.00%,7.40%,34466,39694,45785,43267,8366,1780,21.30%,241,286,151,3.3,3.9,0,2,17,23,69,29,34,714.9,3317,3097,3517,360,9.50%,89.90%,0.60%,35,451424,3,96500,108,3.10%,11,0.30%,5,178,5.70%,32.30%,0.00%,2.60%,729,33.2,4.70%,4.6,1.00%,12.70%,0.00%,59.40%,3.30%,5.10%,0.00%,5.50%,26.70%,0.00%,4.19,29.52,26.4,10,477,None,3968,63.10%,11.50%,17.90%,0.00%,0.50%,0.00%,3.20%,1.10%,2.70%
62,184,42,3,281400,1,4.20E+11,Block Group 1,G5030,S,348105,0,40.449631,-80.0569283,8486.848119,51,21011160,21289.383,52,2134,Crafton Heights,23,484.575,0.754,5,23,4,21289.38381,21011159.54,,Crafton Heights,4,3930,4014,4560,4895,4904,4563,4199,3814,7.35%,0.18%,-6.95%,-7.98%,-9.17%,1.25%,0.8,482.6,5058.4,5569,7.9,8.7,28.66%,0.73%,0.76%,66.28%,3.57%,1.50%,7.59%,14.92%,19.92%,36.96%,10.90%,9.71%,1819,1836,88.50%,11.50%,1634,62.80%,37.20%,7,100.00%,0.00%,0.00%,1.30%,5.00%,23.40%,29.60%,40.70%," 64,450 ","$81,613 ","$76,650 ",-6.10%,"$40,000 ",60,29,18,1.00%,1838,3.80%,6.50%,10.90%,4.40%,2.90%,9.90%,9.70%,21.10%,9.40%,6.50%,14.80%,367,16.30%,17.40%,3.80%,8.20%,2.70%,0.00%,6.80%,32.70%,8.20%,0.00%,3.80%,2731,17.50%,62.80%,9.60%,9.40%,0.70%,35625,39288,47324,42824,3837,630,16.40%,89,150,68,2.3,3.9,0,2,4,7,29,8,23,482.6,1976,1756,1700,476,6.70%,92.70%,0.60%,10,96475,3,85000,73,4.30%,1,0.10%,0,126,7.20%,36.30%,41.40%,0.00%,315,7.3,1.50%,1.9,0.00%,21.70%,0.00%,74.10%,1.30%,2.30%,0.00%,22.30%,0.00%,0.00%,3.04,19.33,25.6,9,632,None,1757,67.70%,12.30%,16.80%,0.00%,0.70%,0.00%,0.80%,0.70%,0.90%
63,197,42,3,60500,2,4.20E+11,Block Group 2,G5030,S,255123,0,40.458604,-79.9613007,9025.775014,39,7097053,14866.162,40,2122,Polish Hill,65,163.677,0.255,2,6,13,14866.16233,7097053.089,,Polish Hill,13,5880,4896,3619,2709,1845,1610,1488,1274,-25.15%,-31.89%,-12.74%,-7.58%,-14.38%,0.42%,0.3,163.2,4996.1,5835.3,7.8,9.1,12.17%,1.26%,0.71%,82.89%,2.98%,2.20%,0.65%,6.53%,25.05%,44.94%,9.40%,13.42%,928,849,82.10%,17.90%,715,55.70%,44.30%,8,100.00%,0.00%,0.00%,4.60%,13.20%,1.20%,16.20%,64.80%," 40,500 ","$51,285 ","$62,700 ",22.30%,"$19,900 ",37,1,3,0.40%,941,5.80%,8.70%,23.80%,7.70%,0.00%,3.10%,6.00%,30.50%,10.60%,3.40%,0.40%,318,3.10%,4.70%,6.30%,4.70%,1.30%,0.00%,15.70%,1.30%,45.60%,0.00%,17.30%,1210,15.90%,45.50%,16.00%,18.30%,4.40%,19353,30972,25709,33759,1393,103,7.40%,34,39,40,2.7,3.1,1,0,3,3,6,8,11,163.2,899,740,613,293,5.20%,88.80%,6.00%,19,391790,6,685000,16,2.60%,8,1.30%,1,75,10.10%,75.00%,0.10%,0.40%,156,24.5,15.00%,19.3,0.00%,9.50%,0.00%,26.40%,10.30%,28.00%,0.00%,16.20%,19.00%,0.00%,1.46,8.02,31.4,16,988,None,921,73.00%,9.70%,11.30%,0.00%,0.00%,0.00%,1.20%,0.00%,4.90%
64,201,42,3,980600,1,4.20E+11,Block Group 1,G5030,S,982752,473795,40.4518148,-80.0280506,19600.68312,34,10688264,19607.977,35,2117,Chateau,22,246.501,0.383,1,113,3,19607.97613,10688263.84,,Chateau,3,8267,7326,5251,681,322,12,39,11,-87.03%,-52.72%,-96.27%,225.00%,-71.79%,0.00%,0.4,245.1,28.7,101.8,0,0.2,27.27%,0.00%,0.00%,72.73%,0.00%,0.00%,22.83%,0.00%,77.17%,0.00%,0.00%,0.00%,29,4,100.00%,0.00%,28,0.00%,100.00%,0,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%, N/A ,N/A,N/A,N/A,"$250,000 ",1,9,0,0.00%,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6870,9.20%,12.50%,4.30%,43.70%,1.80%,3.10%,4.30%,5.20%,2.00%,1.20%,12.70%,0,N/A,N/A,N/A,N/A,N/A,7440,0,9883,0,92,92,100.00%,16,24,48,145.5,218.2,0,0,1,0,0,2,14,245.1,271,141,75,108,n/a,n/a,n/a,0,0,9,1267021,2,2.70%,0,0.00%,2,17,12.10%,0.00%,0.00%,56.70%,100,1.6,0.60%,144.3,0.00%,0.00%,0.00%,0.00%,15.00%,57.70%,0.00%,0.00%,0.00%,27.20%,5.72,13.44,35.1,0,0,None,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
65,202,42,3,561600,1,4.20E+11,Block Group 1,G5030,S,294192,0,40.41688,-79.9615214,10586.53075,82,3667921.5,10585.539,83,2165,Arlington Heights,5,84.592,0.132,4,113,7,10585.53817,3667921.41,,Arlington Heights,7,2413,2860,2272,2037,1466,1497,238,244,-10.34%,-28.03%,2.11%,-84.10%,2.52%,0.08%,0.1,84.5,1848.5,1803,2.9,2.8,84.02%,0.00%,1.64%,9.43%,4.92%,0.80%,4.10%,39.25%,16.38%,30.72%,3.41%,6.14%,557,148,91.20%,8.80%,139,18.70%,81.30%,2,100.00%,0.00%,0.00%,0.00%,7.10%,35.30%,48.40%,9.20%," 45,000 ","$56,984 ","$64,400 ",13.00%,N/A,0,0,0,0.00%,72,0.00%,0.00%,13.90%,0.00%,0.00%,29.20%,0.00%,18.10%,27.80%,0.00%,11.10%,10,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,166,18.10%,74.10%,0.00%,7.80%,0.00%,18646,9417,24769,10265,293,169,57.70%,19,37,24,7.8,15.2,0,0,4,5,5,3,7,84.5,10,7,13,4,n/a,n/a,n/a,0,0,0,0,0,0.00%,0,0.00%,0,3,42.90%,39.90%,61.20%,0.00%,3,0,0.00%,0,0.00%,41.80%,0.00%,56.50%,0.00%,0.00%,0.00%,43.40%,0.00%,0.00%,0,1.09,8.2,0,0,None,72,11.10%,0.00%,88.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
66,203,42,3,140100,3,4.20E+11,Block Group 3,G5030,S,291302,0,40.4427301,-79.9435821,8071.734942,54,34078712,30343.65,55,2137,Squirrel Hill North,76,785.948,1.222,3,57,10,30343.65108,34078713.19,,Squirrel Hill North,10,10435,13009,13778,13576,12353,11471,10408,11363,-1.47%,-9.01%,-7.14%,-9.27%,9.18%,3.72%,1.2,782.1,9298.7,8517.2,14.5,13.3,3.24%,17.03%,2.18%,75.02%,2.53%,4.10%,5.12%,28.27%,29.92%,20.78%,9.82%,6.10%,3969,3892,93.00%,7.00%,3889,59.20%,40.80%,6,70.50%,29.50%,1.80%,1.00%,5.50%,12.20%,25.60%,53.90%," 254,667 ","$322,485 ","$344,900 ",7.00%,"$337,500 ",103,6,9,0.20%,6095,1.10%,5.00%,5.00%,2.30%,1.10%,5.90%,14.80%,51.30%,5.90%,1.30%,6.50%,8671,2.10%,0.50%,3.90%,0.30%,3.30%,2.50%,5.80%,71.50%,5.00%,1.60%,3.40%,6207,1.80%,14.10%,17.40%,26.70%,40.10%,64740,83861,86001,91409,9009,797,8.80%,148,110,120,1.3,1,0,0,4,3,33,16,15,782.1,2836,2723,3144,99,17.60%,82.40%,0.00%,80,5976891,25,1814709,46,1.50%,1,0.00%,1,20,0.70%,0.40%,4.90%,0.00%,1846,26.2,3.40%,2.3,0.00%,2.10%,2.10%,79.10%,0.70%,0.00%,14.40%,5.70%,0.00%,0.00%,8.19,26.46,21.7,4,252,"J, K, Z",5962,47.50%,4.50%,11.10%,0.00%,0.20%,1.60%,26.10%,0.00%,9.00%
67,211,42,3,51100,1,4.20E+11,Block Group 1,G5030,S,183645,0,40.4416579,-79.9764621,6208.941405,55,9529806,19562.576,56,2138,Terrace Village,83,219.783,0.342,3,94,15,19562.57807,9529806.364,,Terrace Village,15,4054,11631,10520,7766,6550,5073,2631,3228,-26.18%,-15.66%,-22.55%,-48.14%,22.69%,1.06%,0.3,218.9,9438.6,7693,14.7,12,67.60%,2.39%,0.34%,27.88%,1.80%,1.10%,2.99%,40.93%,30.24%,17.97%,4.12%,3.76%,2074,1509,83.90%,16.10%,1286,3.10%,96.90%,0,63.40%,36.60%,23.80%,19.80%,1.20%,22.60%,21.10%,11.50%," 54,500 ","$69,013 ","$59,300 ",-14.10%,"$4,658 ",9,2,1,0.10%,1067,2.10%,0.00%,5.50%,4.80%,0.00%,2.00%,13.00%,34.10%,30.50%,3.50%,4.60%,887,2.30%,1.70%,1.10%,1.10%,0.50%,1.10%,0.50%,84.60%,0.00%,2.70%,4.50%,1368,26.10%,53.10%,8.80%,4.00%,7.90%,7230,10857,9604,11834,2293,1060,46.20%,163,263,104,5,8.1,5,1,22,26,37,25,71,218.9,189,122,447,278,n/a,n/a,n/a,1,4000,4,421215,4,0.90%,0,0.00%,1,17,13.90%,14.70%,44.90%,0.00%,264,15.9,7.30%,4.9,0.00%,8.30%,0.00%,61.00%,0.00%,0.00%,24.20%,14.70%,0.10%,0.00%,0.74,7.41,21.7,3,157,None,1031,16.30%,6.40%,45.20%,0.00%,0.00%,0.00%,31.20%,0.00%,0.90%
68,214,42,3,50900,1,4.20E+11,Block Group 1,G5030,S,462660,4114,40.4512373,-79.9745804,14216.9644,46,4997335.5,14192.737,47,2129,Bedford Dwellings,7,115.252,0.179,3,81,15,14192.73823,4997335.35,,Bedford Dwellings,15,2663,3870,4915,3800,2878,2317,2109,1202,-22.69%,-24.26%,-19.49%,-8.98%,-43.01%,0.39%,0.2,114.6,6715.1,11782.1,10.5,18.4,92.01%,0.25%,0.75%,3.99%,3.00%,1.60%,19.12%,13.05%,14.05%,28.01%,16.96%,8.81%,1049,746,87.30%,12.70%,695,7.60%,92.40%,2,100.00%,0.00%,3.70%,8.10%,7.50%,11.90%,30.10%,38.60%," 17,200 ","$21,780 ","$81,100 ",272.40%,$200 ,1,0,1,0.10%,358,0.00%,7.50%,0.00%,12.30%,0.00%,2.80%,2.20%,54.70%,2.20%,6.40%,11.70%,34,0.00%,11.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,88.20%,0.00%,0.00%,733,8.30%,49.90%,12.80%,14.20%,14.70%,8955,9992,11896,10891,1203,589,49.00%,42,80,38,3.5,6.7,0,0,7,8,8,2,25,114.6,265,185,132,119,n/a,n/a,n/a,1,4000,0,0,9,6.80%,9,6.80%,6,42,22.70%,33.60%,69.30%,0.00%,45,8.7,7.60%,7.3,0.00%,23.40%,0.00%,59.50%,0.00%,2.70%,0.00%,37.60%,0.20%,0.00%,0.97,4.48,25.1,3,234,None,305,36.70%,16.70%,33.80%,0.00%,0.00%,0.00%,12.80%,0.00%,0.00%
69,215,42,3,141000,1,4.20E+11,Block Group 1,G5030,S,507903,0,40.4328896,-79.8976172,16004.73435,68,5362860,15999.778,69,2151,Regent Square,66,123.682,0.192,3,19,10,15999.77786,5362859.972,,Regent Square,10,1494,1440,1339,1212,1167,1090,1131,928,-9.48%,-3.71%,-6.60%,3.76%,-17.95%,0.30%,0.2,122.9,4833.3,5890.6,7.6,9.2,1.83%,3.13%,0.97%,92.35%,1.72%,2.50%,8.65%,5.65%,19.13%,47.45%,15.57%,3.55%,562,479,95.20%,4.80%,540,75.60%,24.40%,8,100.00%,0.00%,0.00%,0.00%,0.00%,9.90%,9.10%,80.90%," 113,000 ","$143,092 ","$196,300 ",37.20%,"$224,900 ",17,1,2,0.40%,657,0.00%,13.20%,3.70%,4.00%,4.40%,10.20%,11.40%,45.50%,1.50%,1.50%,4.60%,159,0.00%,15.70%,25.20%,0.00%,0.00%,0.00%,18.90%,22.00%,15.70%,0.00%,2.50%,909,4.00%,24.10%,6.90%,21.00%,44.00%,54450,77647,72331,84635,1098,12,1.10%,38,14,12,4.1,1.5,0,1,2,0,6,1,1,122.9,388,386,616,4,16.40%,83.60%,0.00%,13,357288,1,20000,1,0.20%,0,0.00%,1,4,1.00%,32.80%,0.00%,2.70%,240,63.5,51.60%,68.4,0.00%,33.30%,0.00%,45.10%,0.40%,0.00%,0.00%,54.50%,0.00%,0.00%,0.46,4.51,23.5,0,0,None,614,60.60%,9.30%,23.50%,0.00%,0.00%,0.00%,3.10%,0.00%,3.60%
70,221,42,3,562900,2,4.20E+11,Block Group 2,G5030,S,4488597,20843,40.3937604,-79.9499181,56370.85291,90,48800708,56384.668,91,2173,Hays,38,1125.478,1.75,4,24,8,56384.66908,48800707.25,,Hays,8,2238,1897,1556,955,679,537,457,362,-38.62%,-28.90%,-20.91%,-14.90%,-20.79%,0.12%,1.8,1120,206.9,261.1,0.3,0.4,7.18%,1.66%,0.00%,87.85%,3.31%,3.60%,20.18%,6.06%,16.51%,28.07%,13.58%,15.60%,228,203,81.80%,18.20%,214,79.40%,20.60%,8,100.00%,0.00%,0.00%,3.30%,0.00%,0.00%,8.20%,88.50%," 38,500 ","$48,753 ","$50,800 ",4.20%,"$10,100 ",7,1,1,0.50%,176,10.20%,13.60%,17.00%,8.50%,0.00%,6.80%,12.50%,0.00%,25.60%,0.00%,5.70%,384,14.30%,41.70%,5.20%,0.00%,1.00%,6.50%,22.10%,0.00%,0.00%,0.00%,9.10%,335,56.70%,26.60%,10.10%,6.60%,0.00%,23125,29833,30719,32518,545,161,29.50%,15,17,7,4.1,4.7,0,0,0,1,5,4,1,1120,414,341,241,174,1.60%,95.20%,3.20%,4,52500,3,48000,10,4.10%,2,0.80%,4,76,22.30%,46.90%,46.90%,6.50%,4,1.3,0.10%,3.5,0.00%,71.70%,0.00%,13.50%,0.00%,9.40%,0.00%,41.00%,0.00%,36.10%,6.45,12.06,6.9,0,0,None,166,81.90%,18.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
